mlbam_id,Name,Team,GS,IP,ER,R,ERA,ip_f,starter_id,handoffs,bq_runners,actual_bq,exp_re_emp,exp_re_pub,exp_sp_emp,exp_sp_pub,adjERA_re_emp,adjERA_re_pub,adjERA_sp_emp,adjERA_sp_pub,adjRA9_sp_emp,RA9,delta,delta_pct
682052,Jacob Lopez,Athletics,17,92.2,42,47,4.08,92.66666666666667,682052,6,10,5,2.9526303369940354,2.928,3.14229093728773,3.1399999999999997,3.8802914356073344,3.877899280575539,3.898711709736578,3.898489208633093,4.3843232205279445,4.5647482014388485,-0.18128829026342208,-0.04443340447632894
663436,Davis Martin,Chicago White Sox,25,142.2,65,74,4.1,142.66666666666663,663436,10,16,11,6.673798405461878,6.6419999999999995,6.766315243228916,6.79,3.827552703148297,3.825546728971964,3.8333890457177136,3.8348831775700947,4.401146055063508,4.668224299065422,-0.2666109542822861,-0.06502706202006979
605488,Jeffrey Springs,Athletics,30,171.0,78,90,4.11,171.0,605488,7,10,0,3.427031271138385,3.5140000000000002,3.407927240680573,3.56,4.285633224796757,4.290210526315789,4.284627749509504,4.292631578947368,4.916206696877925,4.7368421052631575,0.17462774950950344,0.04248850353029281
607625,Seth Lugo,Kansas City Royals,26,145.1,67,70,4.15,145.33333333333331,607625,12,19,1,4.136280889234866,4.285,4.453432361849452,4.38,4.343301798186563,4.352511467889909,4.362941912316366,4.358394495412845,4.548721728830127,4.3348623853211015,0.2129419123163654,0.051311304172618165
669022,MacKenzie Gore,Washington Nationals,30,159.2,74,75,4.17,159.66666666666663,669022,8,15,6,5.136914696258778,5.036,5.338093259816272,5.27,4.122540076824609,4.116851774530272,4.1338799958560335,4.130041753653446,4.190247428006347,4.227557411273487,-0.03612000414396643,-0.00866187149735406
676083,Janson Junk,Miami Marlins,16,110.0,51,54,4.17,110.0,676083,4,7,4,2.253661047736142,2.279,2.412508147183413,2.37,4.029844994814775,4.031918181818182,4.0428415756786436,4.039363636363636,4.288296121133189,4.418181818181818,-0.12715842432135638,-0.03049362693557707
621244,José Berríos,Toronto Blue Jays,30,166.0,77,86,4.17,166.0,621244,8,13,2,4.037542095179824,3.945,4.156302107041429,4.22,4.2851679449193885,4.280150602409638,4.291606740743211,4.295060240963855,4.779558547972126,4.662650602409639,0.12160674074321065,0.029162287948012146
656605,Mitch Keller,Pittsburgh Pirates,32,176.1,82,91,4.19,176.33333333333331,656605,12,21,6,6.614707949803774,6.827,6.991059498810615,6.8100000000000005,4.2166297063226885,4.227465028355388,4.235838575553661,4.226597353497165,4.695195853436459,4.644612476370511,0.045838575553660554,0.010939994165551444
665152,Dean Kremer,Baltimore Orioles,29,171.2,80,83,4.19,171.66666666666663,665152,12,16,2,4.145381241269535,4.365,4.315135526580588,4.44,4.30665105536753,4.31816504854369,4.31555079459743,4.3220970873786415,4.472832347995488,4.3514563106796125,0.12555079459742924,0.029964390118718192
669461,Matthew Liberatore,St. Louis Cardinals,29,151.2,71,79,4.21,151.66666666666663,669461,13,21,10,9.20164697740871,9.049000000000001,9.359749522953377,9.36,4.165812018439639,4.156753846153848,4.175193927735696,4.175208791208792,4.649919202460971,4.687912087912089,-0.034806072264303545,-0.008267475597221744
669923,George Kirby,Seattle Mariners,23,126.0,59,60,4.21,126.0,669923,3,3,0,0.6998142201103582,0.731,0.7209940445484324,0.76,4.2642724442935975,4.266500000000001,4.265785288896317,4.268571428571429,4.337213860324888,4.285714285714286,0.05578528889631684,0.01325066244568096
656849,David Peterson,New York Mets,30,168.2,79,84,4.22,168.66666666666663,656849,15,26,8,8.625872927283178,8.581,9.011479303535943,8.86,4.248811401258195,4.246416996047432,4.269387235564171,4.261304347826088,4.536185654536503,4.482213438735179,0.04938723556417113,0.011703136389614012
680732,Sean Burke,Chicago White Sox,22,134.1,63,76,4.22,134.33333333333331,680732,12,17,5,5.942885291795891,5.986,6.0975033666869916,6.22,4.284014647341164,4.286903225806452,4.2943736746911885,4.302580645161291,5.1653414166266725,5.09181141439206,0.07437367469118872,0.017624093528717705
676440,Tanner Bibee,Cleveland Guardians,31,182.1,86,93,4.24,182.33333333333331,676440,9,13,3,3.3705906076537206,3.377,3.4371363430248447,3.52,4.263264984290038,4.263581352833638,4.266549691520423,4.270639853747715,4.612070715286419,4.590493601462524,0.026549691520422414,0.006261719698212833
691587,Eury Pérez,Miami Marlins,20,95.1,45,47,4.25,95.33333333333331,691587,7,10,7,3.691615310643514,3.699,3.840658640633142,3.8600000000000003,3.935921725130682,3.936618881118882,3.9499922492905424,3.9518181818181826,4.138803438101731,4.4370629370629375,-0.3000077507094576,-0.07059005899046061
671106,Logan Allen,Cleveland Guardians,29,156.2,74,84,4.25,156.66666666666663,671106,13,26,9,8.472649987872119,8.502,8.9380909139308,8.85,4.220769254622442,4.222455319148937,4.24750735037475,4.242446808510639,4.821975435481133,4.825531914893618,-0.0024926496252497543,-0.0005865057941764128
667755,José Soriano,Los Angeles Angels,31,169.0,80,89,4.26,169.0,667755,11,18,9,6.06694680600733,6.149,6.214631349861647,6.25,4.104156930497432,4.108526627218935,4.112021787862455,4.113905325443787,4.591311728690857,4.739644970414201,-0.14797821213754503,-0.03473666951585564
543243,Sonny Gray,St. Louis Cardinals,32,180.2,86,93,4.28,180.66666666666663,543243,8,13,7,5.24039307327533,5.2940000000000005,5.412410894873736,5.49,4.196477145716669,4.199147601476016,4.205046299191127,4.208911439114392,4.553754786275999,4.632841328413285,-0.07495370080887298,-0.017512546917960975
677944,Slade Cecconi,Cleveland Guardians,23,132.0,63,66,4.3,132.0,677944,7,9,4,2.8670990202045226,2.9210000000000003,2.869056347786268,3.0300000000000002,4.218211296832126,4.221886363636363,4.218344750985427,4.229318181818182,4.422890205530882,4.5,-0.081655249014573,-0.018989592794086744
688138,Logan Evans,Seattle Mariners,15,81.1,39,45,4.32,81.33333333333331,688138,6,8,4,2.897416214030021,2.778,2.898729013205367,2.89,4.193566548273815,4.180352459016395,4.193711817035021,4.192745901639345,4.857646243264529,4.979508196721313,-0.1262881829649789,-0.029233375686337708
695418,Brad Lord,Washington Nationals,19,130.2,63,65,4.34,130.66666666666663,695418,7,9,4,3.4959376393385315,3.528,3.5425016990842533,3.55,4.304567133321787,4.306775510204083,4.3077743517226414,4.308290816326531,4.4455294537634575,4.477040816326532,-0.03222564827735841,-0.0074252645800365
682847,Luis Ortiz,Cleveland Guardians,16,88.2,43,44,4.36,88.66666666666667,682847,6,8,2,1.6777860827151103,1.738,1.7543748447736982,1.84,4.331955730200406,4.338067669172932,4.33972977747703,4.348421052631579,4.441233536875526,4.466165413533834,-0.020270222522970727,-0.004649133606185946
672456,Keider Montero,Detroit Tigers,12,90.2,44,46,4.37,90.66666666666667,672456,6,8,2,2.7220926388035247,2.733,2.785616129686476,2.88,4.4393253722341735,4.440408088235293,4.445631012873289,4.455,4.644160424637995,4.566176470588235,0.07563101287328866,0.017306867934391
571578,Patrick Corbin,Texas Rangers,30,155.1,76,79,4.4,155.33333333333331,571578,17,27,6,10.430501845082922,10.557,10.655001143479911,10.84,4.660136372998367,4.667465665236052,4.673143843077162,4.683862660944207,4.846963585566433,4.57725321888412,0.273143843077162,0.06207814615390045
700241,Michael McGreevy,St. Louis Cardinals,16,95.2,47,50,4.42,95.66666666666667,700241,3,5,0,0.8013819170230241,0.837,0.8617439408601766,0.87,4.4969941176293435,4.500344947735192,4.502672774924128,4.503449477351916,4.7849027400809225,4.70383275261324,0.08267277492412806,0.018704247720390962
701542,Will Warren,New York Yankees,33,162.1,80,90,4.44,162.33333333333331,701542,13,24,7,7.423987040799869,7.656,7.946136123314579,7.77,4.458824743535106,4.471687885010267,4.487773460635511,4.478008213552362,5.042188245029761,4.989733059548255,0.04777346063551047,0.010759788431421275
663559,Bailey Falter,Kansas City Royals,24,125.1,62,68,4.45,125.33333333333331,663559,8,16,6,4.164122879952081,4.183,4.415652501082972,4.26,4.320296057868901,4.321651595744682,4.338358025343725,4.32718085106383,4.769209089173512,4.882978723404256,-0.11164197465627534,-0.025088084192421426
675911,Spencer Strider,Atlanta Braves,23,125.1,62,63,4.45,125.33333333333331,675911,7,10,2,4.168410006617986,4.159000000000001,4.174623324442024,4.2700000000000005,4.607837952602888,4.607162234042554,4.608284121701955,4.6151329787234046,4.680092632340252,4.5239361702127665,0.15828412170195438,0.03556946555100098
607259,Nick Martinez,Cincinnati Reds,26,165.2,82,86,4.45,165.66666666666663,607259,12,18,7,6.445340840389277,6.44,6.568895291981444,6.529999999999999,4.4245959812686335,4.4243058350100615,4.431308194936619,4.429195171026158,4.648612017874245,4.672032193158954,-0.018691805063380862,-0.004200405632220418
647336,Michael Soroka,Chicago Cubs,17,89.2,45,49,4.52,89.66666666666667,647336,7,12,8,5.126549423442356,5.015,5.136214613108247,5.09,4.228315369639196,4.217118959107807,4.229285481613094,4.224646840148699,4.630772470460678,4.918215613382899,-0.2907145183869053,-0.06431737132453658
622663,Luis Severino,Athletics,29,162.2,82,93,4.54,162.66666666666663,622663,10,15,2,4.500418958351896,4.557,4.548745616213971,4.55,4.675228098105537,4.678358606557379,4.677901909093808,4.67797131147541,5.286508466470856,5.14549180327869,0.13790190909380762,0.03037486984445102
656302,Dylan Cease,San Diego Padres,32,168.0,85,91,4.55,168.0,656302,9,12,5,4.032370954108718,4.048,4.166078497346604,4.26,4.501734158255824,4.502571428571429,4.508897062357853,4.513928571428572,4.830325633786425,4.875,-0.041102937642146564,-0.009033612668603641
542881,Tyler Anderson,Los Angeles Angels,26,136.1,69,73,4.56,136.33333333333331,542881,8,16,5,5.250618949163539,5.2829999999999995,5.469328507504733,5.22,4.571556752145271,4.573694376528119,4.585994791448968,4.569535452322739,4.85005347115557,4.819070904645478,0.025994791448968435,0.0057006121598615
547179,Michael Lorenzen,Kansas City Royals,26,141.2,73,76,4.64,141.66666666666663,547179,14,20,6,6.475805724963813,6.443,6.553104383779317,6.6899999999999995,4.667874716644761,4.6657905882352955,4.67278545496951,4.6814823529411775,4.863373690263629,4.828235294117649,0.032785454969510575,0.007065830812394521
656427,Jack Flaherty,Detroit Tigers,31,161.0,83,85,4.64,161.0,656427,15,20,6,7.297303122464831,7.489999999999999,7.455769744405213,7.57,4.712271603119152,4.72304347826087,4.721129985712093,4.72751552795031,4.832931227948118,4.751552795031056,0.08112998571209307,0.01748491071381316
608372,Tomoyuki Sugano,Baltimore Orioles,30,157.0,81,85,4.64,157.0,608372,12,21,2,6.643671855941987,6.891,6.891460613753464,6.93,4.909509851614509,4.923687898089172,4.923714302699243,4.925923566878982,5.153013665756568,4.872611464968153,0.28371430269924325,0.06114532385759553
